index,split,sequence,frame,image,steering,referenceYRatio,laneWidthPriorPx,imageWidth,imageHeight,status,eY,eyQuality,referenceY,imageCenterX,leftX,rightX,laneCenterX,laneWidthPx,inferredLaneWidthPx,yellowRunCount,leftRun,rightRun,yellowRunsJson,preview
0,test,2,0,E:\桌面\v-Net\dataset\25地下室\2\0_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.08244460821151733,1.0,259,320.0,78.85346221923828,508.3819885253906,293.61772537231445,429.52852630615234,,2,"[62, 96]","[487, 531]","[[62, 96], [487, 531]]",
1,test,2,1,E:\桌面\v-Net\dataset\25地下室\2\1_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.10345966815948486,1.0,259,320.0,66.35853576660156,507.4272766113281,286.89290618896484,441.06874084472656,,2,"[48, 85]","[487, 528]","[[48, 85], [487, 528]]",
2,test,2,2,E:\桌面\v-Net\dataset\25地下室\2\2_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.1420327126979828,1.0,259,320.0,49.768985748291016,499.330078125,274.5495319366455,449.561092376709,,2,"[27, 71]","[472, 528]","[[27, 71], [472, 528]]",
3,test,2,3,E:\桌面\v-Net\dataset\25地下室\2\3_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.19735342562198638,1.0,259,320.0,24.74947166442871,488.9443359375,256.84690380096436,464.1948642730713,,2,"[0, 51]","[463, 515]","[[0, 51], [463, 515]]",
4,test,2,4,E:\桌面\v-Net\dataset\25地下室\2\4_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.21570998579263687,1.0,259,320.0,15.963889122009277,485.9817199707031,250.9728045463562,470.01783084869385,,2,"[0, 38]","[459, 513]","[[0, 38], [459, 513]]",
5,test,2,5,E:\桌面\v-Net\dataset\25地下室\2\5_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.1637892246246338,0.6,259,320.0,62.07611083984375,473.0987854003906,267.5874481201172,411.0226745605469,411.0226745605469,1,,,"[[446, 500]]",
6,test,2,6,E:\桌面\v-Net\dataset\25地下室\2\6_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.20166897773742676,0.6,259,320.0,49.95458984375,460.9772644042969,255.46592712402344,411.0226745605469,411.0226745605469,1,,,"[[433, 489]]",
7,test,2,7,E:\桌面\v-Net\dataset\25地下室\2\7_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.24379630088806153,0.6,259,320.0,36.473846435546875,447.49652099609375,241.9851837158203,411.0226745605469,411.0226745605469,1,,,"[[419, 477]]",
8,test,2,8,E:\桌面\v-Net\dataset\25地下室\2\8_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.25500311851501467,0.6,259,320.0,32.887664794921875,443.91033935546875,238.3990020751953,411.0226745605469,411.0226745605469,1,,,"[[416, 474]]",
9,test,2,9,E:\桌面\v-Net\dataset\25地下室\2\9_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3064581394195557,0.6,259,320.0,16.42205810546875,427.4447326660156,221.9333953857422,411.0226745605469,411.0226745605469,1,,,"[[396, 457]]",
